spectrum, FSR, FWHM
0, 410.17633333333333, 110.95701575479453
1, 410.81933333333336, 111.09318268787656
2, 410.81916666666666, 110.99737337574105
3, 411.462, 111.14954418095456
4, 411.462, 111.40017720754132
5, 410.81916666666666, 111.40957016185008
6, 411.4621666666667, 111.40936873512138
7, 411.4621666666667, 111.54221052643484
8, 412.10516666666655, 111.50438723781463
9, 412.74800000000005, 111.74319506861835
10, 412.7479999999999, 111.71887767381297
11, 412.7479999999999, 111.75140318499139
12, 412.7479999999999, 111.91483178965483
13, 412.7479999999999, 111.95992057749315
14, 413.3909999999999, 111.9671277016231
15, 413.3909999999999, 111.8888296748952
16, 413.3909999999999, 111.98996593802144
17, 414.03383333333323, 111.95069704615818
18, 414.03383333333323, 112.00701623816728
19, 413.3908333333334, 111.84327019273132
20, 413.3908333333334, 112.00530681241231
21, 413.3908333333334, 112.18035131421688
22, 413.3908333333334, 111.89777686917691
23, 413.3908333333334, 111.93920317503479
24, 413.3908333333334, 111.99331704821306
25, 413.3908333333334, 111.90987357197864
26, 413.3908333333334, 112.13814633855735
27, 413.3908333333334, 112.08030429945528
28, 414.0338333333334, 112.24274187461224
29, 413.3908333333334, 112.23287211341203
30, 414.0338333333334, 112.0537760241682
31, 414.0338333333334, 112.0974476131112
32, 414.0338333333334, 112.02707809820117
33, 414.0338333333334, 112.07207293426166
34, 414.0338333333334, 112.17400996817301
35, 414.03383333333323, 112.09818997930218
36, 413.3909999999999, 112.12314950924888
37, 413.3909999999999, 112.10823921435488
38, 413.3909999999999, 112.12643501287066
39, 413.3909999999999, 112.07827048631073
40, 414.03383333333323, 112.25311570784336
41, 414.03383333333323, 112.08785656889606
42, 414.03383333333323, 112.28070278115209
43, 414.03383333333323, 112.17304130916705
44, 414.03383333333323, 112.10158785430853
45, 414.67683333333326, 112.21161411512853
46, 414.67683333333326, 112.21189863091327
47, 414.67683333333326, 112.26571024608106
48, 414.67683333333326, 112.34976946463917
49, 414.67683333333326, 112.19559302380627
50, 414.0338333333334, 112.15433490372904
51, 414.0338333333334, 112.22918983334804
52, 414.0338333333334, 112.44221047859325
53, 414.0338333333334, 112.47755446671434
54, 414.0338333333334, 112.23362898428275
55, 414.03383333333323, 112.08346290308684
56, 414.03383333333323, 112.18758127061668
57, 414.03383333333323, 112.18724992955461
58, 414.03383333333323, 112.40254516654248
59, 414.67683333333326, 112.29507058325751
60, 414.67683333333326, 112.34828629463121
61, 414.67683333333326, 112.25680373450005
62, 414.67683333333326, 112.33991904609036
63, 414.0338333333334, 112.10200528148205
64, 414.0338333333334, 112.37531122928716
65, 414.0338333333334, 112.28229440098839
66, 414.0338333333334, 112.29057777379558
67, 414.0338333333334, 112.42886906567348
68, 414.0338333333334, 112.33812949702701
69, 414.67666666666673, 112.42104170615012
70, 414.0338333333334, 112.27325561534691
71, 414.67666666666673, 112.28580234899911
72, 414.67666666666673, 112.4046722423374
73, 414.67666666666673, 112.2881219171878
74, 414.67666666666673, 112.36807809657726
75, 414.67666666666673, 112.46062674256132
76, 415.31950000000006, 112.34967718465747
77, 414.67666666666673, 112.33607433873287
78, 414.67666666666673, 112.31781302654801
79, 415.31950000000006, 112.50483555908322
80, 414.67666666666673, 112.29092341329682
81, 415.31950000000006, 112.28947270503622
82, 415.31950000000006, 112.50293509848508
83, 414.67666666666673, 112.42177878828026
84, 415.31950000000006, 112.39150817134326
85, 414.67666666666673, 112.3704705674344
86, 414.67666666666673, 112.44508659426637
87, 414.67666666666673, 112.48604992346887
88, 414.67666666666673, 112.27812401726955
89, 414.67666666666673, 112.57357913758632
90, 414.67666666666673, 112.52360421742439
91, 414.67666666666673, 112.44222535334684
92, 414.67666666666673, 112.4768600855008
93, 414.67666666666673, 112.67740098036538
94, 414.67666666666673, 112.57513213614443
95, 414.67666666666673, 112.54732965736729
96, 414.67666666666673, 112.63262994163392
97, 414.67666666666673, 112.43642052125188
98, 414.67666666666673, 112.37481198904891
99, 414.67666666666673, 112.60739907696322
